label,group_id,loglik,mse,purchases,rank_ll,rank_se
sub_s1,41,-3.827301699280363,0.9505166616349566,634.0,2.0,2.0
sub_s1,42,-5.988062319548233,0.9649569469949474,92.0,5.0,6.0
sub_s1,43,-5.34767534943665,0.9668165972443665,147.0,3.0,6.0
sub_s1,44,-3.648185333991133,0.92617428261516,578.0,2.0,5.0
sub_s1,45,-5.510064019097222,0.961341087264244,99.0,4.0,5.0
sub_s1,46,-4.754668586338933,0.9544871334030695,253.0,4.0,2.0
sub_s1,47,-5.031862054869186,0.9752024096111919,215.0,4.0,3.0
sub_s1,48,-6.302721659342448,0.9499764442443848,48.0,4.0,1.0
sub_s1,49,-4.35029373769685,0.9617041239901165,381.0,3.0,1.0
sub_s1,50,-3.562139543218645,0.8737304893005576,297.0,1.0,3.0
sub_s1,51,-4.487468760500672,0.934011972078713,186.0,1.0,2.0
sub_s1,52,-5.452522192108497,0.9752018103438816,89.0,2.0,4.0
sub_s1,53,-3.5404392328477443,0.9341918256946076,532.0,1.0,3.0
sub_s1,54,-3.377108311417079,0.9262358712677908,505.0,2.0,3.0
sub_s1,55,-4.076265729546837,0.9270597211925943,411.0,4.0,4.0
sub_s2,0,-5.280248380962171,0.9791475797954359,190.0,2.0,2.0
sub_s2,1,-6.1149639054840685,0.9604456284466911,51.0,5.0,2.0
sub_s2,2,-4.724489901928192,0.9640680407801419,282.0,5.0,4.0
sub_s2,3,-4.126306518222071,0.9343372313787892,367.0,4.0,3.0
sub_s2,4,-7.3116845703125,1.001142578125,50.0,2.0,2.0
sub_s2,5,-4.3669077555338545,0.9545001075381324,336.0,5.0,6.0
sub_s2,6,-4.167705017843364,0.8765753286856192,162.0,2.0,4.0
sub_s2,7,-3.54458349609375,0.9214951782226563,500.0,1.0,1.0
sub_s2,8,-5.971753868689904,0.9908942589393028,130.0,3.0,5.0
sub_s2,9,-5.007188505284926,0.9462328742532169,170.0,2.0,4.0
sub_s2,10,-4.449489339192708,0.937304433186849,240.0,5.0,5.0
sub_s2,11,-4.686170906856142,0.9645718541638605,232.0,4.0,4.0
sub_s2,12,-6.388459044617492,0.9921175473696225,77.0,6.0,4.0
sub_s2,13,-3.3910966082317073,0.9133273985327743,410.0,2.0,3.0
sub_s2,14,-6.025596217105263,0.9785481503135279,76.0,3.0,3.0
sub_s2,15,-5.224545417947972,0.9810420908826463,188.0,1.0,1.0
sub_s2,16,-4.186728527924275,0.9480009679530069,397.0,3.0,1.0
sub_s2,17,-6.062090016374684,0.9933783020636048,99.0,6.0,6.0
sub_s2,18,-6.12214310672305,0.9944432809812214,109.0,6.0,4.0
sub_s2,19,-5.508908658414273,0.9647382787756018,74.0,2.0,3.0
sub_s2,20,-2.8052513816139917,0.8835053877397017,1408.0,4.0,3.0
sub_s2,21,-5.119155421401516,0.9605668501420455,165.0,3.0,3.0
sub_s2,22,-5.90911595167312,0.9930002668262583,113.0,5.0,3.0
sub_s2,23,-5.607257780481557,0.9860803155951161,183.0,6.0,6.0
sub_s2,24,-5.660555393575764,0.9843016699921313,139.0,4.0,4.0
sub_s2,25,-5.75309579031808,0.9747044154575892,140.0,5.0,5.0
sub_s2,26,-4.294864839298433,0.9493359514111467,351.0,3.0,3.0
sub_s2,27,-4.722130270565257,0.9104374156278723,51.0,4.0,6.0
sub_s2,28,-6.529606999577703,0.9955495885900549,74.0,6.0,6.0
sub_s2,29,-5.110363341214364,0.9598050033837034,114.0,4.0,5.0
sub_s2,30,-4.417536858185696,0.9671839115813649,381.0,5.0,2.0
