label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf_ctl,19,-5.577528257627745,0.9680041751346072,74.0,4.0,6.0
nf_ctl,20,-2.7927533929998223,0.8867679942737926,1408.0,3.0,6.0
nf_ctl,21,-5.264049183238637,0.9616225733901516,165.0,6.0,6.0
nf_ctl,22,-5.8390994451742255,0.9929783238773853,113.0,2.0,5.0
nf_ctl,23,-5.456195101711919,0.9840191283512637,183.0,1.0,1.0
nf_ctl,24,-5.602688357126799,0.9829037892732689,139.0,2.0,2.0
nf_ctl,25,-5.629800851004465,0.9723338535853795,140.0,2.0,6.0
nf_ctl,26,-4.293322788684117,0.9491525851083956,351.0,3.0,4.0
nf_ctl,27,-4.6932711133769915,0.9065307916379443,51.0,6.0,5.0
nf_ctl,28,-6.382793117213893,0.9947631423537796,74.0,1.0,4.0
nf_ctl,29,-5.0438692862527414,0.955518220600329,114.0,1.0,1.0
nf_ctl,30,-4.379739275754593,0.968843795496022,381.0,1.0,4.0
nf_ctl,31,-4.628428500306373,0.9637741986443015,255.0,3.0,2.0
nf_ctl,32,-4.650096416473389,0.9756909608840942,256.0,3.0,4.0
nf_ctl,33,-2.379787109375,0.7355393880208333,375.0,2.0,3.0
nf_ctl,34,-6.283796466764857,0.990854419645716,61.0,2.0,2.0
nf_ctl,35,-6.0181317497702205,0.9811132094439339,85.0,6.0,4.0
nf_ctl,36,-3.6966454290574595,0.9407977852770077,372.0,3.0,6.0
nf_ctl,37,-5.900538710297131,0.9913395740946785,122.0,5.0,1.0
nf_ctl,38,-4.1491417271571525,0.9142688340715223,381.0,6.0,4.0
nf_ctl,39,-6.615546635219029,1.0016508102416992,56.0,5.0,8.0
nf_ctl,40,-6.851663143076795,0.9875485034699135,47.0,2.0,1.0
nf_ctl,41,-3.9127670913840693,0.9548619026641364,634.0,5.0,7.0
nf_ctl,42,-5.919777248216712,0.9612052751624066,92.0,4.0,4.0
nf_ctl,43,-5.315671336894133,0.9622051213063351,147.0,2.0,2.0
nf_ctl,44,-3.6912808005785034,0.924079763023086,578.0,6.0,3.0
nf_ctl,45,-5.245491413154987,0.9499428488991477,99.0,1.0,2.0
nf_ctl,46,-4.7415757009634385,0.9559470919281127,253.0,2.0,2.0
